0,1,0,216507.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1,0,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,1,3,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,1,3,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,1,2,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44,1,1,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45,1,1,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50,1,2,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,1,1,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58,1,1,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
63,1,1,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
67,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
69,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73,1,3,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
74,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
77,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
78,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,1,1,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
81,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
82,1,2,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
83,1,1,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
84,1,2,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
85,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
86,1,2,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
87,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
88,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
89,1,1,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
90,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,1,7,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0
